Year,EEZ,Catch,Effort,CPUE
1951,Venezuela,9621.005249,6243388.985,0.001540991
1951,Vietnam,1048.065325,138102.4648,0.007589041
1951,Wallis & Futuna Isl. (France),311.5464893,87835.7339,0.003546922
1951,Yemen (Arabian Sea),12.63605519,340.7416599,0.037083975
1952,American Samoa,834.4622837,700312.3735,0.001191557
1952,Andaman & Nicobar Isl. (India),565.4434713,3643.099017,0.155209471
1952,Anguilla (UK),170.3927722,3056.346031,0.055750485
1952,Antigua and Barbuda,974.4406125,126431.6862,0.00770725
1952,Australia,4219.076754,14914403.93,0.000282886
1952,Bahamas,1910.174596,4141076.847,0.000461275
1952,Barbados,231.9687069,3843.272499,0.06035708
1952,Belize,2120.080132,24990.90814,0.084834057
1952,Bermuda (UK),308.6790896,241112.5465,0.001280228
1952,Bonaire (Netherlands),28.79974928,8170.360811,0.003524905
1952,Brazil (mainland),1369.928652,13234.3222,0.103513322
1952,British Virgin Isl. (UK),496.8722842,72872.8452,0.006818346
1952,Brunei Darussalam,133.0285482,51355.35608,0.002590354
1952,Cayman Isl. (UK),28.97116258,23627.08838,0.001226184
1952,Chagos Archipelago (UK),32.424,37.66671725,0.860813003
1952,China,3277.450672,33450.91539,0.097977907
1952,Christmas Island,15.03966155,494.745543,0.030398781
1952,Cocos (Keeling) Islands,50.27747817,7683969.185,6.54E-06
1952,Colombia,1503.252602,88901.20239,0.016909249
1952,Comoros Isl.,4.578494266,184.5756888,0.024805511
1952,Cook Islands,620.979021,2222.919972,0.279352846
1952,Costa Rica (Pacific),235.3837014,762792.5022,0.000308582
1952,Cuba,5903.208062,1966047.836,0.003002576
1952,Curacao (Netherlands),318.4865422,644885.4353,0.000493865
1952,Daito Islands,157.3694801,4258716.277,3.70E-05
1952,Dominica,723.2849321,29097.47629,0.024857308
1952,Dominican Republic,8943.431627,1572579.172,0.005687111
1952,Fernando de Noronha (Brazil),23.35298576,783.6665185,0.029799647
1952,Fiji,24068.90188,718673.6282,0.033490726
1952,French Polynesia,1659.080059,28296.57849,0.058631826
1952,Grenada,499.3716639,436580.484,0.001143825
1952,Guadeloupe (France),606.9204722,179644.9871,0.003378444
1952,Guam (USA),460.552811,268774.7548,0.001713527
1952,Hawaii Main Islands (USA),1271.015039,653054.3808,0.001946262
1952,Honduras (Caribbean),558.7257379,39197.42717,0.014254143
1952,Hong Kong,32.32193069,40780.66092,0.00079258
1952,India (mainland),44973.91001,568560.5765,0.079101351
1952,Indonesia,19543.69783,1099332.109,0.017777792
1952,Jamaica,24091.90338,2298787.911,0.010480264
1952,Japan Main Islands,13067.65927,3639399.602,0.003590609
1952,Kiribati,5513.099408,383715.1766,0.014367687
1952,Lord Howe Island,1.53705,1614.066881,0.000952284
1952,Madagascar,6891.373377,77885.26757,0.08848109
1952,Maldives,1844.171857,95852.34998,0.019239715
1952,Marshall Isl.,568.9819027,926.0333485,0.614429171
1952,Martinique (France),911.5005841,235925.1002,0.003863517
1952,Mauritius,1759.419646,49229.51202,0.035739124
1952,Mayotte (France),101.1875588,5699.257322,0.017754517
1952,Mexico,2336.054548,620858.8141,0.003762618
1952,Micronesia (Federated States of),5248.899894,82028.2239,0.06398895
1952,Mozambique,16698.23387,87125.87015,0.191656437
1952,Myanmar,4940.669466,76819.78271,0.064315067
1952,Nauru,17.97936314,378.9798922,0.04744147
1952,New Caledonia (France),1274.330212,486640.3229,0.002618628
1952,Nicaragua,3209.519827,26242.09988,0.12230423
1952,Niue (New Zealand),67.00722011,270.4789487,0.247735435
1952,Northern Marianas (USA),132.5673389,30521.58651,0.004343396
1952,Oman,2259.300866,142830.5859,0.015818047
1952,Palau,712.674298,569.1236656,1.252231002
1952,Panama (Pacific),434.6639171,341583.0513,0.001272498
1952,Papua New Guinea,9031.992055,557265.6658,0.016207695
1952,Philippines,18024.79067,6073535.84,0.002967759
1952,Puerto Rico (USA),3282.211491,583268.8252,0.005627271
1952,Reunion (France),243.3400532,2192.765669,0.110974035
