MERGE_SRC,Shape_Leng,Shape_Area,FID_,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3,ID,_count,_sum,_mean
"8356",0.00192548648,0.00000001249,"167",8356,Saudi Arabian Exclusive Economic Zone,2215,200NM,2215,Saudi Arabia,SAU,Saudi Arabia,0,0,,,,0,0,,,,40.48580,22.45463,8356,224219,SAU,,,"682","0","0","682","0","0","8356",23817,6408399.18338785,269.068278262915
"8358",10.07135357320,0.61394685739,"182",8358,Bahraini Exclusive Economic Zone,2154,200NM,2154,Bahrain,BHR,Bahrain,0,0,,,,0,0,,,,50.70534,26.33540,8358,7516,BHR,,,"48","0","0","48","0","0","8358",39189,14721227.1951994,375.646921207466
"8360",43.88674847010,4.12456928116,"155",8360,United Arab Emirates Exclusive Economic Zone,2206,200NM,2206,United Arab Emirates,ARE,United Arab Emirates,0,0,,,,0,0,,,,53.89303,24.94396,8360,51674,ARE,,,"784","0","0","784","0","0","8360",112170,18983649.1482877,169.239985274919
"8360",0.00192548648,0.00000001249,"155",8360,United Arab Emirates Exclusive Economic Zone,2206,200NM,2206,United Arab Emirates,ARE,United Arab Emirates,0,0,,,,0,0,,,,53.89303,24.94396,8360,51674,ARE,,,"784","0","0","784","0","0","8360",23817,6408399.18338785,269.068278262915
"8468",19.63885183430,2.35885097229,"183",8468,Qatari Exclusive Economic Zone,2242,200NM,2242,Qatar,QAT,Qatar,0,0,,,,0,0,,,,51.88076,25.86236,8468,31363,QAT,,,"634","0","0","634","0","0","8468",53782,12229523.2422517,227.39063705797
"8469",86.47010987400,4.81595056185,"162",8469,Iranian Exclusive Economic Zone,2126,200NM,2126,Iran,IRN,Iran,0,0,,,,0,0,,,,53.88540,29.78242,8469,215332,IRN,,,"364","0","0","364","0","0","8469",263458,13769331.0701082,52.2638563646129
"48947",5.92651183526,0.16762179947,"157",48947,Overlapping claim: Iran / United Arab Emirates,2206,Overlapping claim,2206,United Arab Emirates,ARE,United Arab Emirates,2126,2126,Iran,IRN,Iran,0,0,,,,55.17180,26.01269,48947,6173,ARE,IRN,,"784","364","0","784","364","0","48947",28410,6531959.10153389,229.917603010697
"50170",0.64420613015,0.01121352695,"242",50170,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,8468,Overlapping claim,8468,Qatar,QAT,Qatar,2215,2215,Saudi Arabia,SAU,Saudi Arabia,2206,2206,United Arab Emirates,ARE,United Arab Emirates,51.59986,24.69243,50170,126,QAT,SAU,ARE,"634","682","784","634","682","784","50170",23288,7480513.93091759,321.217533962452
"5682",136.84894339600,3.79597346079,"221",5682,Italian Exclusive Economic Zone,2133,200NM,2133,Italy,ITA,Italy,0,0,,,,0,0,,,,12.92786,39.65467,5682,536654,ITA,,,"380","0","0","380","0","0","5682",440390,78291993.2836076,177.778771733254
"5693",52.60035973870,0.86547427968,"276",5693,Spanish Exclusive Economic Zone,2185,200NM,2185,Spain,ESP,Spain,0,0,,,,0,0,,,,-4.15801,41.72201,5693,561763,ESP,,,"724","0","0","724","0","0","5693",208467,41783885.7754412,200.434053233563
